datetime,symbol,open,high,low,close,volume
2024-06-15 02:00:00,COINBASE:DOTUSD,6.16,6.254,6.109,6.22,428504.97549693
2024-06-16 02:00:00,COINBASE:DOTUSD,6.219,6.418,6.144,6.392,452055.29178973
2024-06-17 02:00:00,COINBASE:DOTUSD,6.394,6.412,5.983,6.066,1037382.88589743
2024-06-18 02:00:00,COINBASE:DOTUSD,6.067,6.085,5.497,5.768,2185687.57658572
2024-06-19 02:00:00,COINBASE:DOTUSD,5.768,5.991,5.728,5.796,1297121.93627365
2024-06-20 02:00:00,COINBASE:DOTUSD,5.79,5.972,5.594,5.639,1002576.9063409
2024-06-21 02:00:00,COINBASE:DOTUSD,5.64,5.734,5.547,5.607,716970.68768924
2024-06-22 02:00:00,COINBASE:DOTUSD,5.607,5.803,5.539,5.75,847355.22284371
2024-06-23 02:00:00,COINBASE:DOTUSD,5.75,5.814,5.584,5.645,725237.00144994
2024-06-24 02:00:00,COINBASE:DOTUSD,5.644,5.735,5.4,5.721,1196493.1410794
2024-06-25 02:00:00,COINBASE:DOTUSD,5.727,5.975,5.7,5.84,1138258.65316489
2024-06-26 02:00:00,COINBASE:DOTUSD,5.842,5.948,5.758,5.795,800065.2073807
2024-06-27 02:00:00,COINBASE:DOTUSD,5.796,6.4,5.701,6.276,1528654.18656108
2024-06-28 02:00:00,COINBASE:DOTUSD,6.275,6.435,6.146,6.177,1048481.09461151
2024-06-29 02:00:00,COINBASE:DOTUSD,6.177,6.292,6.055,6.072,342831.01347107
2024-06-30 02:00:00,COINBASE:DOTUSD,6.071,6.251,6.012,6.203,408014.76133095
2024-07-01 02:00:00,COINBASE:DOTUSD,6.201,6.442,6.112,6.324,1176051.42021008
2024-07-02 02:00:00,COINBASE:DOTUSD,6.324,6.597,6.307,6.52,1631096.32912066
2024-07-03 02:00:00,COINBASE:DOTUSD,6.52,6.535,5.89,6.075,1503245.29193304
2024-07-04 02:00:00,COINBASE:DOTUSD,6.075,6.133,5.541,5.555,2137619.68683649
2024-07-05 02:00:00,COINBASE:DOTUSD,5.554,5.917,4.913,5.686,3841405.42130031
2024-07-06 02:00:00,COINBASE:DOTUSD,5.684,6.309,5.632,6.24,1567424.47707658
2024-07-07 02:00:00,COINBASE:DOTUSD,6.244,6.313,5.882,5.909,742234.10892947
2024-07-08 02:00:00,COINBASE:DOTUSD,5.907,6.296,5.695,5.94,1302296.90469026
2024-07-09 02:00:00,COINBASE:DOTUSD,5.94,6.186,5.84,6.117,1442410.14424855
2024-07-10 02:00:00,COINBASE:DOTUSD,6.116,6.26,6.05,6.094,910589.58537156
2024-07-11 02:00:00,COINBASE:DOTUSD,6.093,6.243,5.896,5.903,1020192.89708961
2024-07-12 02:00:00,COINBASE:DOTUSD,5.902,6.109,5.803,6.104,821777.31192171
2024-07-13 02:00:00,COINBASE:DOTUSD,6.106,6.304,6.076,6.235,575782.90944886
2024-07-14 02:00:00,COINBASE:DOTUSD,6.235,6.357,6.161,6.318,1324158.42577008
2024-07-15 02:00:00,COINBASE:DOTUSD,6.32,6.541,6.297,6.49,1475103.40641379
2024-07-16 02:00:00,COINBASE:DOTUSD,6.491,6.515,6.13,6.338,1191635.63621403
2024-07-17 02:00:00,COINBASE:DOTUSD,6.341,6.534,6.247,6.253,899416.88803307
2024-07-18 02:00:00,COINBASE:DOTUSD,6.256,6.405,6.02,6.092,1194445.73753723
2024-07-19 02:00:00,COINBASE:DOTUSD,6.094,6.352,5.982,6.341,956111.64253955
2024-07-20 02:00:00,COINBASE:DOTUSD,6.344,6.4,6.225,6.333,380514.68892882
2024-07-21 02:00:00,COINBASE:DOTUSD,6.338,6.447,6.102,6.441,602938.67663265
2024-07-22 02:00:00,COINBASE:DOTUSD,6.437,6.477,6.084,6.096,878874.45229834
2024-07-23 02:00:00,COINBASE:DOTUSD,6.1,6.165,5.806,5.916,1041467.51448939
2024-07-24 02:00:00,COINBASE:DOTUSD,5.913,5.998,5.657,5.749,863957.9109387
2024-07-25 02:00:00,COINBASE:DOTUSD,5.746,5.778,5.54,5.754,1054674.06620388
2024-07-26 02:00:00,COINBASE:DOTUSD,5.754,5.89,5.724,5.868,751230.9577199
2024-07-27 02:00:00,COINBASE:DOTUSD,5.868,5.943,5.716,5.824,531638.08165488
2024-07-28 02:00:00,COINBASE:DOTUSD,5.819,5.842,5.672,5.72,350584.37858904
2024-07-29 02:00:00,COINBASE:DOTUSD,5.722,5.877,5.622,5.65,686669.78325347
2024-07-30 02:00:00,COINBASE:DOTUSD,5.648,5.722,5.481,5.516,692567.63094317
2024-07-31 02:00:00,COINBASE:DOTUSD,5.515,5.556,5.333,5.388,1559406.24880069
2024-08-01 02:00:00,COINBASE:DOTUSD,5.387,5.421,5.024,5.336,1183370.10305616
2024-08-02 02:00:00,COINBASE:DOTUSD,5.336,5.366,4.995,5.117,979363.35803709
2024-08-03 02:00:00,COINBASE:DOTUSD,5.116,5.203,4.855,5.037,1067252.97256319
2024-08-04 02:00:00,COINBASE:DOTUSD,5.037,5.094,4.533,4.689,1156639.03332821
2024-08-05 02:00:00,COINBASE:DOTUSD,4.686,4.724,3.615,4.204,5489442.93599127
2024-08-06 02:00:00,COINBASE:DOTUSD,4.205,4.606,4.197,4.509,2602597.77428484
2024-08-07 02:00:00,COINBASE:DOTUSD,4.516,4.645,4.406,4.582,1438687.68274389
2024-08-08 02:00:00,COINBASE:DOTUSD,4.579,4.906,4.483,4.881,1309083.67961169
2024-08-09 02:00:00,COINBASE:DOTUSD,4.879,4.926,4.734,4.783,901705.438834
2024-08-10 02:00:00,COINBASE:DOTUSD,4.782,4.833,4.724,4.757,311274.50327163
2024-08-11 02:00:00,COINBASE:DOTUSD,4.756,4.828,4.468,4.498,473997.34211615
2024-08-12 02:00:00,COINBASE:DOTUSD,4.5,4.68,4.451,4.587,778366.2121432
2024-08-13 02:00:00,COINBASE:DOTUSD,4.588,4.614,4.399,4.55,762001.64292203
2024-08-14 02:00:00,COINBASE:DOTUSD,4.549,4.555,4.349,4.385,799989.72277008
2024-08-15 02:00:00,COINBASE:DOTUSD,4.385,4.481,4.23,4.278,792742.14718288
2024-08-16 02:00:00,COINBASE:DOTUSD,4.275,4.388,4.213,4.29,704226.72848912
2024-08-17 02:00:00,COINBASE:DOTUSD,4.29,4.383,4.276,4.365,345576.14415549
2024-08-18 02:00:00,COINBASE:DOTUSD,4.364,4.527,4.345,4.387,534733.84504279
2024-08-19 02:00:00,COINBASE:DOTUSD,4.387,4.504,4.346,4.483,636346.05236095
2024-08-20 02:00:00,COINBASE:DOTUSD,4.483,4.606,4.455,4.522,692840.71973126
2024-08-21 02:00:00,COINBASE:DOTUSD,4.523,4.755,4.5,4.664,848871.60831394
2024-08-22 02:00:00,COINBASE:DOTUSD,4.668,4.713,4.594,4.691,941419.85383196
2024-08-23 02:00:00,COINBASE:DOTUSD,4.691,4.957,4.684,4.895,1084414.67030567
2024-08-24 02:00:00,COINBASE:DOTUSD,4.897,5.102,4.848,4.985,1146583.15692653
2024-08-25 02:00:00,COINBASE:DOTUSD,4.983,4.995,4.747,4.823,1047076.2118202
2024-08-26 02:00:00,COINBASE:DOTUSD,4.825,4.868,4.532,4.559,1030119.69999366
2024-08-27 02:00:00,COINBASE:DOTUSD,4.558,4.658,4.242,4.38,1315599.08529354
2024-08-28 02:00:00,COINBASE:DOTUSD,4.375,4.453,4.166,4.255,1171648.60039006
2024-08-29 02:00:00,COINBASE:DOTUSD,4.255,4.409,4.18,4.253,571891.01886165
2024-08-30 02:00:00,COINBASE:DOTUSD,4.251,4.334,4.102,4.278,681436.5348825
2024-08-31 02:00:00,COINBASE:DOTUSD,4.277,4.317,4.218,4.259,232421.50590801
2024-09-01 02:00:00,COINBASE:DOTUSD,4.256,4.258,4.034,4.07,416668.29260062
2024-09-02 02:00:00,COINBASE:DOTUSD,4.068,4.232,4.054,4.21,419803.9582771
2024-09-03 02:00:00,COINBASE:DOTUSD,4.209,4.283,4.054,4.061,489732.65405021
2024-09-04 02:00:00,COINBASE:DOTUSD,4.065,4.196,3.866,4.11,1580356.52986676
2024-09-05 02:00:00,COINBASE:DOTUSD,4.11,4.127,3.974,4.02,422586.88455269
2024-09-06 02:00:00,COINBASE:DOTUSD,4.021,4.097,3.82,3.959,895006.83227357
