datetime,symbol,open,high,low,close,volume
2023-06-17 02:00:00,COINBASE:SOLUSD,15.31,16.11,15.16,15.65,619722.293
2023-06-18 02:00:00,COINBASE:SOLUSD,15.65,15.84,15.29,15.43,339733.583
2023-06-19 02:00:00,COINBASE:SOLUSD,15.43,16.15,15.34,16.11,516113.696
2023-06-20 02:00:00,COINBASE:SOLUSD,16.1,16.69,15.72,16.66,1091099.188
2023-06-21 02:00:00,COINBASE:SOLUSD,16.66,17.41,16.55,17.22,1382813.131
2023-06-22 02:00:00,COINBASE:SOLUSD,17.24,17.75,16.57,16.63,782546.715
2023-06-23 02:00:00,COINBASE:SOLUSD,16.63,17.55,16.17,17.14,1572147.864
2023-06-24 02:00:00,COINBASE:SOLUSD,17.15,17.55,16.39,16.65,616699.981
2023-06-25 02:00:00,COINBASE:SOLUSD,16.64,17.39,16.58,16.97,730647.619
2023-06-26 02:00:00,COINBASE:SOLUSD,16.96,17.12,15.91,16.28,923307.907
2023-06-27 02:00:00,COINBASE:SOLUSD,16.28,16.94,16.14,16.63,901463.403
2023-06-28 02:00:00,COINBASE:SOLUSD,16.63,16.65,15.7,15.98,1276434.131
2023-06-29 02:00:00,COINBASE:SOLUSD,15.97,18.29,15.87,17.99,1620867.651
2023-06-30 02:00:00,COINBASE:SOLUSD,17.99,19.99,17.12,18.85,2112990.496
2023-07-01 02:00:00,COINBASE:SOLUSD,18.84,19.01,17.9,18.7,561215.49
2023-07-02 02:00:00,COINBASE:SOLUSD,18.69,19.73,18.54,19.46,1099827.343
2023-07-03 02:00:00,COINBASE:SOLUSD,19.46,19.65,18.85,19.27,724270.445
2023-07-04 02:00:00,COINBASE:SOLUSD,19.26,19.94,19.07,19.15,771462.748
2023-07-05 02:00:00,COINBASE:SOLUSD,19.14,19.4,18.45,19.0,778668.06
2023-07-06 02:00:00,COINBASE:SOLUSD,18.99,20.98,18.66,19.6,2328822.554
2023-07-07 02:00:00,COINBASE:SOLUSD,19.59,21.75,19.26,21.51,1766438.141
2023-07-08 02:00:00,COINBASE:SOLUSD,21.51,22.49,21.32,21.84,1286218.031
2023-07-09 02:00:00,COINBASE:SOLUSD,21.85,22.38,20.99,21.33,721402.273
2023-07-10 02:00:00,COINBASE:SOLUSD,21.33,21.8,20.49,21.3,1078280.131
2023-07-11 02:00:00,COINBASE:SOLUSD,21.29,22.37,21.21,22.07,916057.377
2023-07-12 02:00:00,COINBASE:SOLUSD,22.07,22.79,21.74,21.93,1364472.767
2023-07-13 02:00:00,COINBASE:SOLUSD,21.94,26.82,21.43,26.03,3118929.35
